easting,northing,number_of_vehicles,casualty_severity,age_of_casualty,1st_road_class_a_m,1st_road_class_b,1st_road_class_c,1st_road_class_motorway,1st_road_class_unclassified,road_surface_dry,road_surface_flood,road_surface_snow,lighting_conditions_darkness_no_street_lighting,lighting_conditions_darkness_street_lighting_unknown,lighting_conditions_darkness_street_lights_present_but_unlit,lighting_conditions_daylight_street_lights_present,weather_conditions_fine_with_high_winds,weather_conditions_fine_without_high_winds,weather_conditions_raining_with_high_winds,weather_conditions_raining_without_high_winds,weather_conditions_snowing_with_high_winds,weather_conditions_snowing_without_high_winds,casualty_class_passenger,casualty_class_pedestrian,sex_of_casualty_male,type_of_vehicle_car,type_of_vehicle_goods_vehicle,type_of_vehicle_minibus,type_of_vehicle_motorcycle,type_of_vehicle_other_vehicle,type_of_vehicle_pedal_cycle,accident_day_of_week,accident_week,accident_hour,road_surface_frost,road_surface_wet,lighting_conditions_darkness_street_lights_present_and_lit,weather_conditions_fog_or_mist,weather_conditions_no_report,casualty_class_driver,year,day,day_of_week_1,day_of_week_2,day_of_week_3,day_of_week_4,day_of_week_5,day_of_week_6,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
424112,434008,1,0,66,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
425186,437731,2,0,30,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,10,0,0,0,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
425186,437731,2,0,66,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,10,0,0,0,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
421016,441155,1,0,88,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23,11,0,0,0,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
429870,430441,3,0,40,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,20,0,1,1,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
423629,437988,3,0,49,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,23,11,0,0,0,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
435211,433542,1,0,11,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,23,15,0,0,0,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
437665,444765,1,1,22,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23,20,0,0,0,0,0,0,2009,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
430112,431742,2,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,27,12,0,1,0,0,0,0,2009,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
429436,433461,2,0,40,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,27,17,0,0,0,0,0,0,2009,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
