reference_number,easting,northing,number_of_vehicles,accident_date,time_24hr,1st_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,sex_of_casualty,age_of_casualty,type_of_vehicle
120033394,430536,433129,1,2012-01-22,255,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,28,Car
120034263,427301,434682,2,2012-01-23,800,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,19,Motorcycle over 50cc and up to 125cc
120034970,422201,433910,1,2012-01-23,1345,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,73,Car
120035568,428891,431676,1,2012-01-24,117,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Male,19,Car
120036061,442525,427843,1,2012-01-24,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,16,Motorcycle over 50cc and up to 125cc
120036097,420972,439975,2,2012-01-24,740,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver,Slight,Male,24,Pedal cycle
120037021,429960,430866,2,2012-01-24,2115,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,49,Car
120037514,432133,429435,2,2012-01-25,818,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,47,Motorcycle over 500cc
120037514,432133,429435,2,2012-01-25,818,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,45,Car
120037869,431818,426339,3,2012-01-25,853,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
120037869,431818,426339,3,2012-01-25,853,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,31,Car
120038444,424304,434770,1,2012-01-25,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,Car
120038568,431231,434794,2,2012-01-25,1720,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,37,Pedal cycle
120038630,427714,436154,2,2012-01-25,1915,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,59,Car
120039444,432971,439577,1,2012-01-25,1410,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,58,Car
120039161,424375,433891,2,2012-01-26,645,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,19,Car
120039266,432902,430251,2,2012-01-26,955,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Goods vehicle over 3.5 tonnes and under 7.5 tonnes mgw
120040113,435099,435651,2,2012-01-26,1440,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,39,Bus or coach (17 or more passenger seats)
120040180,431956,430497,2,2012-01-26,1615,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,30,Car
120040180,431956,430497,2,2012-01-26,1615,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Car
120040237,431367,433965,1,2012-01-26,1755,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,39,Taxi/Private hire car
120040275,433887,426146,2,2012-01-26,1726,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,44,Pedal cycle
120042215,438758,430801,2,2012-01-26,1805,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,48,Car
120047476,437329,435796,1,2012-01-26,815,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,12,Car
120041238,419851,441187,2,2012-01-27,1040,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,19,Car
120041360,437025,436227,3,2012-01-27,828,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,36,Car
120000793,423650,434359,2,2012-01-01,1110,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,26,Car
120000793,423650,434359,2,2012-01-01,1110,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Fatal,Male,68,Car
120000793,423650,434359,2,2012-01-01,1110,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Fatal,Female,66,Car
120000892,433709,434315,1,2012-01-01,200,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,19,Taxi/Private hire car
120000927,432526,427554,2,2012-01-01,1750,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,61,Car
120000928,428530,431387,2,2012-01-01,1535,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,44,Car
120000928,428530,431387,2,2012-01-01,1535,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,34,Car
120000979,425797,435675,2,2012-01-01,1405,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Female,23,Car
120000979,425797,435675,2,2012-01-01,1405,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver,Slight,Male,29,Car
120000979,425797,435675,2,2012-01-01,1405,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Serious,Female,30,Car
120010921,431174,440726,2,2012-01-01,1630,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,46,Car
120010921,431174,440726,2,2012-01-01,1630,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,22,Car
120002429,425774,431455,2,2012-01-03,742,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,24,Pedal cycle
120002748,424657,427975,1,2012-01-03,2100,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,28,Car
120003158,439205,432227,2,2012-01-03,1314,A,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,62,Car
120003158,439205,432227,2,2012-01-03,1314,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,60,Car
120003355,435658,437932,1,2012-01-03,1210,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,27,Car
120004201,437233,425790,2,2012-01-03,2025,Motorway,Wet / Damp,Darkness: no street lighting,Raining with high winds,Driver,Slight,Male,31,Car
120004201,437233,425790,2,2012-01-03,2025,Motorway,Wet / Damp,Darkness: no street lighting,Raining with high winds,Driver,Slight,Male,39,Car
120004201,437233,425790,2,2012-01-03,2025,Motorway,Wet / Damp,Darkness: no street lighting,Raining with high winds,Passenger,Slight,Male,37,Car
120004347,427136,429474,2,2012-01-04,1015,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,88,Car
120004347,427136,429474,2,2012-01-04,1015,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,85,Car
120004863,426507,435667,1,2012-01-04,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,16,Car
120005170,429453,433860,1,2012-01-04,2130,A,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Male,25,Car
120005170,429453,433860,1,2012-01-04,2130,A,Dry,Darkness: street lighting unknown,Fine without high winds,Passenger,Slight,Male,25,Car
120005656,429403,433464,2,2012-01-04,1705,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Female,46,Car
120005656,429403,433464,2,2012-01-04,1705,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Female,20,Car
120005382,430910,432288,2,2012-01-05,1600,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,53,Car
120005694,436074,435570,2,2012-01-05,730,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,30,Pedal cycle
120005744,431400,435025,2,2012-01-05,1050,Unclassified,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver,Slight,Male,31,Car
120005886,427861,430083,2,2012-01-05,550,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver,Slight,Male,55,Motorcycle over 500cc
120006358,427494,436986,2,2012-01-05,1628,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,28,Pedal cycle
120006428,428196,434479,1,2012-01-05,1710,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Serious,Male,64,Pedal cycle
120007384,431017,430505,1,2012-01-06,930,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,35,Car
120008132,436596,439920,1,2012-01-06,1328,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Car
120008262,429884,432119,3,2012-01-06,1644,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,83,Car
120008262,429884,432119,3,2012-01-06,1644,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,37,Car
120009062,430375,433514,1,2012-01-07,1030,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,84,Bus or coach (17 or more passenger seats)
120009142,431268,428915,1,2012-01-07,1155,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Serious,Female,71,Car
120009634,429209,436676,1,2012-01-07,1610,B,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,24,Car
120011540,425061,433370,2,2012-01-09,805,B,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,57,Pedal cycle
120012665,423085,437634,2,2012-01-09,1430,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,64,Car
120012866,432414,426742,2,2012-01-09,1740,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,39,Car
120012866,432414,426742,2,2012-01-09,1740,Motorway,Dry,Darkness: street lighting unknown,Fine without high winds,Driver,Slight,Female,28,Car
