reference_number,easting,northing,number_of_vehicles,accident_date,time_24hr,1st_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,sex_of_casualty,age_of_casualty,type_of_vehicle
3309,429093,436258,1,2009-01-01,55,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,44,Car
2609,434723,435534,1,2009-01-02,2335,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Serious,Female,23,Car
2809,441173,433047,1,2009-01-02,1645,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,12,Car
3809,428487,431364,1,2009-01-02,1723,A,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,15,Car
3909,425928,435480,2,2009-01-02,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Female,34,Car
3909,425928,435480,2,2009-01-02,1350,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver,Slight,Male,25,Car
19809,425642,434240,2,2009-01-02,2300,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,57,Car
3709,429610,439798,1,2009-01-03,222,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,17,Car
4309,426535,433642,2,2009-01-03,325,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,23,Car
9009,437658,445061,1,2009-01-03,1645,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,20,Car
9009,437658,445061,1,2009-01-03,1645,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Male,23,Car
66209,431508,435120,2,2009-01-03,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Female,18,Car
66209,431508,435120,2,2009-01-03,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,47,Car
66209,431508,435120,2,2009-01-03,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,11,Car
66209,431508,435120,2,2009-01-03,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,15,Car
66209,431508,435120,2,2009-01-03,1745,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,42,Car
2909,443402,438684,2,2009-01-04,1605,A(M),Dry,Darkness: street lights present and lit,Fine without high winds,Driver,Slight,Male,83,Car
